date,open,high,low,close,volume,average,barCount
2023-08-10 17:15:00-04:00,1.09825,1.09845,1.0979,1.0984,-1.0,-1.0,-1
2023-08-10 18:00:00-04:00,1.0984,1.09845,1.0981,1.0983,-1.0,-1.0,-1
2023-08-10 19:00:00-04:00,1.0983,1.0985,1.09815,1.0982,-1.0,-1.0,-1
2023-08-10 20:00:00-04:00,1.0982,1.0989,1.098,1.0988,-1.0,-1.0,-1
2023-08-10 21:00:00-04:00,1.0988,1.0998,1.0987,1.09945,-1.0,-1.0,-1
2023-08-10 22:00:00-04:00,1.09945,1.09945,1.0986,1.0989,-1.0,-1.0,-1
2023-08-10 23:00:00-04:00,1.0989,1.0992,1.0986,1.0987,-1.0,-1.0,-1
2023-08-11 00:00:00-04:00,1.0987,1.09905,1.0984,1.09855,-1.0,-1.0,-1
2023-08-11 01:00:00-04:00,1.09855,1.0994,1.0984,1.09935,-1.0,-1.0,-1
2023-08-11 02:00:00-04:00,1.09935,1.10025,1.099,1.0991,-1.0,-1.0,-1
2023-08-11 03:00:00-04:00,1.0991,1.0999,1.09875,1.09925,-1.0,-1.0,-1
2023-08-11 04:00:00-04:00,1.09925,1.1003,1.099,1.09995,-1.0,-1.0,-1
2023-08-11 05:00:00-04:00,1.09995,1.10005,1.09765,1.09775,-1.0,-1.0,-1
2023-08-11 06:00:00-04:00,1.09775,1.0996,1.09765,1.0993,-1.0,-1.0,-1
2023-08-11 07:00:00-04:00,1.0993,1.10025,1.099,1.09975,-1.0,-1.0,-1
2023-08-11 08:00:00-04:00,1.09975,1.1005,1.0966,1.09685,-1.0,-1.0,-1
2023-08-11 09:00:00-04:00,1.09685,1.09815,1.0955,1.0963,-1.0,-1.0,-1
2023-08-11 10:00:00-04:00,1.0963,1.0984,1.0958,1.09725,-1.0,-1.0,-1
2023-08-11 11:00:00-04:00,1.09725,1.09755,1.0951,1.0956,-1.0,-1.0,-1
2023-08-11 12:00:00-04:00,1.0956,1.0965,1.0946,1.09465,-1.0,-1.0,-1
2023-08-11 13:00:00-04:00,1.09465,1.09555,1.0943,1.0945,-1.0,-1.0,-1
